stage3,songname,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid
166,mister,2,1,0,2,2,0,2,3,0,0,0,0
165,jumping,2,1,0,2,2,0,2,3,0,0,0,0
66,cozyquilt,2,1,0,2,2,0,0,0,0,0,0,0
126,funkypeople,2,1,0,2,2,0,2,3,0,0,0,0
129,hanzup,2,1,0,2,2,0,2,3,0,0,0,0
64,heartofwitch,2,1,0,2,2,0,2,3,0,0,0,0
26,hereinthe,2,1,0,2,2,0,0,0,0,0,0,0
31,jupiter,2,1,0,2,2,0,2,3,0,0,0,0
34,landscape,2,1,0,2,2,0,2,3,0,0,0,0
99,lovely,1,1,0,2,2,0,0,0,0,0,0,0
36,lover,2,1,0,2,2,0,2,3,0,0,0,0
37,melody,1,1,0,1,2,0,2,3,0,0,0,0
38,miles,1,1,0,2,2,0,2,3,0,0,0,0
139,newday,1,1,0,2,2,0,2,3,0,0,0,0
106,readynow,1,1,0,2,2,0,2,3,0,0,0,0
43,remember,1,1,0,2,2,0,2,3,0,0,0,0
97,rutin,2,1,0,2,2,0,0,0,0,0,0,0
47,stop,2,1,0,2,2,0,2,3,0,2,4,1
49,sweetshining,2,1,0,1,2,0,2,3,0,0,0,0
52,voyage,2,1,0,2,2,0,0,0,0,0,0,0
102,inmydream,2,1,0,0,0,0,0,0,0,2,4,1
162,ad2222,2,1,0,2,2,0,2,3,0,0,0,0
8,blythe,2,1,0,2,2,0,0,0,0,0,0,0
14,creator,2,1,0,2,2,0,0,0,0,0,0,0
65,dualstrikers,2,1,0,2,2,0,0,0,0,0,0,0
32,keystothe,2,1,0,2,2,0,2,3,0,0,0,0
123,leaveme,2,1,0,2,2,0,2,3,0,0,0,0
60,@piano,2,1,0,2,2,0,2,3,0,0,0,0
138,rightback,2,1,0,2,2,0,2,3,0,0,0,0
45,sin,2,1,0,2,2,0,2,3,0,0,0,0
46,sonof,2,1,0,2,2,0,2,3,0,0,0,0
82,supersonicrmx,2,1,0,2,2,0,2,3,0,0,0,0
53,whiteblue,2,1,0,2,2,0,2,3,0,0,0,0
161,bamboo,2,1,0,2,2,0,2,3,0,0,0,0
71,beeutiful,2,1,0,2,2,0,0,0,0,0,0,0
137,feelmabeat,2,1,0,2,2,0,2,3,0,0,0,0
125,goneastray,2,1,0,2,2,0,2,3,0,0,0,0
127,everything,2,1,0,2,2,0,2,3,0,0,0,0
131,chemical,1,1,0,2,2,0,2,3,0,0,0,0
133,rockstar,2,1,0,2,2,0,2,3,0,0,0,0
134,falling,2,1,0,2,2,0,2,3,0,0,0,0
140,xeus,2,1,0,2,2,0,2,3,0,0,0,0
142,outofcont,2,1,0,2,2,0,2,3,0,0,0,0
143,ghost,1,1,0,1,2,0,2,3,0,2,4,1
146,showdown,2,1,0,2,2,0,2,3,0,0,0,0
147,darkprism,2,1,0,2,2,0,2,3,0,2,4,1
150,egg,1,1,0,1,2,0,2,3,0,0,0,0
151,youandme,1,1,0,2,2,0,2,3,0,0,0,0
152,lifewithu,2,1,0,2,2,0,2,3,0,0,0,0
156,justtoday,1,1,0,2,2,0,2,3,0,0,0,0
158,wannabe,1,1,0,2,2,0,2,3,0,0,0,0
159,angel,1,1,0,2,2,0,2,3,0,0,0,0
163,supernova,2,1,0,2,2,0,2,3,0,0,0,0
157,victimoflove,2,1,0,2,2,0,2,3,0,0,0,0
